"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"chra:6",17,27,32,19,1,22
"chra:167",20,22,31,17,16,6
"chra:249",20,26,8,1,9,26
"chra:288",19,13,20,22,8,20
"chra:329",28,1,14,22,22,18
"chra:633",12,17,18,18,11,9
"chra:641",11,13,33,23,22,23
"chra:674",28,22,20,30,32,11
"chra:680",18,43,18,15,13,31
"chra:828",1,31,23,22,5,19
"chra:832",24,16,22,37,22,27
"chra:983",16,34,23,5,5,17
"chra:1051",15,9,21,16,25,15
"chra:1093",18,20,19,1,5,20
"chra:1111",27,1,19,1,16,7
"chra:1580",21,13,14,28,36,19
"chra:1726",13,26,17,19,15,33
"chra:1889",18,9,17,34,34,16
"chra:1931",10,13,21,29,3,28
"chra:2072",16,3,20,8,22,22
"chra:2305",17,19,13,7,27,3
"chra:2565",14,23,34,14,21,32
"chra:2602",11,24,20,34,17,22
"chra:2688",12,14,17,21,16,13
"chra:2771",28,34,32,31,32,25
"chra:2888",22,20,12,17,9,19
"chra:2901",17,24,16,1,15,16
"chra:3004",19,23,1,14,18,21
"chra:3026",22,2,12,21,30,1
"chra:3039",20,9,2,36,41,11
"chra:3298",14,24,32,37,12,16
"chra:3447",16,5,10,31,34,14
"chra:3673",33,11,24,19,14,25
"chra:3791",34,20,12,34,19,42
"chra:3798",23,15,22,12,14,10
"chra:3967",36,34,22,12,8,23
"chra:4107",26,1,17,1,26,16
"chra:4131",6,13,21,19,21,14
"chra:4242",18,35,1,15,12,13
"chra:4439",12,25,36,13,21,45
"chra:4456",19,29,32,17,24,13
"chra:4596",28,32,25,17,17,9
"chra:4647",15,24,33,25,1,24
"chra:4737",8,22,17,18,45,9
"chra:4889",1,48,23,31,4,30
"chra:4932",22,24,27,17,1,28
"chra:5030",31,11,8,7,24,16
"chra:5098",15,27,33,4,31,31
"chra:5131",30,17,27,23,33,14
"chra:5249",23,27,10,15,26,25
"chra:5361",36,14,20,27,28,20
"chra:5435",10,10,13,20,30,29
"chra:5527",15,20,20,32,7,36
"chra:5531",19,35,31,26,34,13
"chra:5532",14,21,43,6,16,14
"chra:5653",9,22,29,25,10,10
"chra:5751",31,39,14,14,6,17
"chra:5868",33,19,27,17,24,43
"chra:5920",31,16,25,30,19,36
"chra:6041",37,19,22,7,19,9
"chra:6212",11,18,29,12,17,11
"chra:6249",21,20,22,16,2,15
"chra:6281",26,30,24,24,24,20
"chra:6422",8,17,26,43,30,41
"chra:6571",29,9,3,31,26,21
"chra:6624",10,25,15,23,18,24
"chra:6722",28,21,19,14,20,15
"chra:6732",32,33,24,10,4,6
"chra:6735",20,18,21,15,27,13
"chra:6875",10,17,25,16,33,18
"chra:6992",26,14,10,11,18,10
"chra:7012",13,18,24,9,2,18
"chra:7209",34,36,36,18,14,16
"chra:7238",20,15,39,10,29,21
"chra:7460",20,25,27,10,32,32
"chra:7676",26,8,11,27,28,43
"chra:7678",22,22,25,19,32,33
"chra:7715",29,26,16,31,9,1
"chra:7729",28,20,16,30,36,28
"chra:7885",26,9,17,24,1,13
"chra:8008",7,43,39,2,7,37
"chra:8053",17,15,5,20,24,14
"chra:8134",7,24,31,21,25,31
"chra:8218",24,5,17,18,18,36
"chra:8345",14,35,20,10,18,1
"chra:8484",30,12,11,23,25,44
"chra:8495",44,12,1,10,45,16
"chra:8554",23,10,42,24,28,12
"chra:8660",30,19,21,26,34,21
"chra:8745",13,24,19,19,35,23
"chra:8766",21,32,15,11,15,15
"chra:8825",6,21,11,20,30,7
"chra:9095",24,22,23,34,11,16
"chra:9123",1,3,21,5,25,11
"chra:9125",33,15,20,3,17,24
"chra:9277",20,12,23,23,40,19
"chra:9297",29,8,18,6,4,25
"chra:9443",16,21,33,22,23,22
"chra:9684",24,15,1,15,18,29
"chra:9915",7,5,16,10,8,34
"chrb:239",26,7,23,17,38,14
"chrb:387",17,34,8,25,33,14
"chrb:534",25,24,14,4,7,11
"chrb:977",40,15,27,17,2,44
"chrb:982",1,9,11,23,30,3
"chrb:1037",5,16,20,15,13,7
"chrb:1067",13,24,31,14,7,34
"chrb:1242",19,24,16,26,3,14
"chrb:1413",25,13,27,22,25,13
"chrb:1489",17,7,23,32,25,1
"chrb:1525",20,21,20,8,22,18
"chrb:1777",6,12,34,20,22,13
"chrb:1786",8,27,24,19,12,5
"chrb:1787",39,8,23,26,29,7
"chrb:2149",23,28,5,11,25,34
"chrb:2209",36,20,43,20,28,30
"chrb:2272",28,22,8,33,1,12
"chrb:2273",4,5,34,32,9,29
"chrb:2274",18,7,15,35,20,16
"chrb:2284",33,30,25,12,33,8
"chrb:2323",33,34,14,17,27,1
"chrb:2360",35,17,1,14,16,26
"chrb:2557",33,27,20,32,19,22
"chrb:2663",26,16,18,11,14,14
"chrb:2717",25,23,42,30,17,26
"chrb:2794",22,16,37,35,11,34
"chrb:2920",24,24,21,23,19,23
"chrb:3131",32,15,15,21,17,18
"chrb:3259",4,25,16,21,26,32
"chrb:3287",33,13,26,17,22,25
"chrb:3394",45,13,31,7,21,40
"chrb:3414",28,17,29,3,21,22
"chrb:3539",27,14,27,32,28,32
"chrb:3655",28,29,20,12,18,28
"chrb:3682",5,21,36,20,10,5
"chrb:3807",29,29,18,12,26,20
"chrb:3816",20,12,23,4,29,24
"chrb:3877",27,13,18,25,37,28
